# Sega - Master System - Mark III - 20140508-000156
#=======================================================================================================================
#  Id       #  Title
#-----------------------------------------------------------------------------------------------------------------------
f0f35c22	20 em 1 (Brazil)
a67f2a5c	4 PAK All Action (Australia) (Unl)
060d6a7c	94 Super World Cup Soccer (Korea)
887d9f6b	Ace of Aces (Europe)
d91b340d	Action Fighter (Japan, Europe) (Rev 1)
3658f3e0	Action Fighter (USA, Europe) (Rev 2)
72420f38	Addams Family, The (Europe)
ecf491cf	Aerial Assault (Europe)
15576613	Aerial Assault (USA)
1c951f8e	After Burner (World)
4f1be9fa	Agigongnyong Dooly (Korea) (Unl)
8b43d21d	Air Rescue (Europe)
c8718d40	Aladdin (Europe)
d8c4165b	Aleste (Japan)
013c0a94	Alex Kidd - High-Tech World (USA, Europe)
c13896d5	Alex Kidd - The Lost Stars (World)
f9dbb533	Alex Kidd BMX Trial (Japan)
17a40e29	Alex Kidd in Miracle World (USA, Europe)
aed9aac4	Alex Kidd in Miracle World (USA, Europe) (Rev 1)
d2417ed7	Alex Kidd in Shinobi World (USA, Europe)
08c9ec91	Alex Kidd no Miracle World (Japan)
82038ad4	Alf (USA)
08bf3de3	Alibaba and 40 Thieves (Korea)
b618b144	Alien 3 (Europe)
7f30f793	Alien Storm (Europe)
4cc11df9	Alien Syndrome (Japan)
5cbfe997	Alien Syndrome (USA, Europe)
c148868c	Alien Syndrome (Unknown) (Beta)
bba2fe98	Altered Beast (USA, Europe)
7b27202f	American Baseball (Europe)
3727d8b2	American Pro Football (Europe)
e8b82066	Ancient Ys Vanished Omen (USA) (Demo)
f499034d	Andre Agassi Tennis (Europe)
fff63b0b	Anmitsu Hime (Japan)
e4163163	Arcade Smash Hits (Europe)
bae75805	Argos no Juujiken (Japan)
f4b3a7bd	Ariel - The Little Mermaid (Brazil)
ae705699	Ashura (Japan)
0bd8da96	Assault City (Europe)
861b6e79	Assault City (Europe) (Light Phaser)
147e02fa	Asterix (Europe) (En,Fr)
8c9d5be8	Asterix (Europe) (En,Fr) (Rev 1)
f9b7d26b	Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)
def9b14e	Asterix and the Secret Mission (Europe) (En,Fr,De)
c795182d	Astro Flash (Japan)
69efd483	Astro Warrior & Pit Pot (Europe)
299cbb74	Astro Warrior (Japan, USA)
e890331d	Ayrton Senna's Super Monaco GP II (Europe)
ff614eb3	Aztec Adventure - The Golden Road to Paradise (World)
e5ff50d8	Back to the Future Part II (Europe)
2d48c1d3	Back to the Future Part III (Europe)
35d84dc2	Baku Baku Animal (Brazil)
655fb1f4	Bank Panic (Europe)
0df8597f	Basket Ball Nightmare (Europe)
b154ec38	Batman Returns (Europe)
c19430ce	Battle Out Run (Europe)
1cbb7bf1	Battlemaniacs (Brazil)
da3a2f57	Black Belt (USA, Europe)
8ecd201c	Blade Eagle (World)
58d5fc48	Blade Eagle (World) (Beta)
643b6b76	Block Hole (Korea)
25eb9f80	Bobble Bobble (Korea)
3084cf11	Bomber Raid (World)
caea8002	Bonanza Bros. (Europe)
b3768a7a	Bonkers Wax Up! (Brazil)
1b10a951	Bram Stoker's Dracula (Europe)
e843ba7e	Bubble Bobble (Europe)
b0fc4577	Buggy Run (Europe)
0918fba0	C_So! (Korea)
ac6009a7	California Games (USA, Europe)
45c50294	California Games II (Brazil, Korea)
c0e25d62	California Games II (Europe)
a4852757	Captain Silver (Japan, Europe)
b81f6fa5	Captain Silver (USA)
3cff6e80	Casino Games (USA, Europe)
31ffd7c3	Castelo Ra-Tim-Bum (Brazil)
953f42e1	Castle of Illusion Starring Mickey Mouse (Europe)
b9db4282	Castle of Illusion Starring Mickey Mouse (USA)
bd610939	Castle of Illusion Starring Mickey Mouse (Unknown) (Sample)
23163a12	Champions of Europe (Europe)
7e5839a0	Championship Hockey (Europe)
492c7c6e	Chapolim x Dracula - Um Duelo Assustador (Brazil)
46340c41	Cheese Cat-astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es)
16ec3575	Choplifter (Japan) (Proto)
fd981232	Choplifter (USA) (Beta)
4a21c15f	Choplifter (USA, Europe)
e421e466	Chouon Senshi Borgman (Japan)
86f49ae9	Chouon Senshi Borgman (Japan) (Beta)
dd0e2927	Chuck Rock (Europe)
87783c04	Chuck Rock II - Son of Chuck (Brazil)
c30e690a	Chuck Rock II - Son of Chuck (Europe)
8fb75994	Circuit, The (Japan)
e7f62e6d	Cloud Master (USA, Europe)
7253c3ec	Color & Switch Test (Unknown)
665fda92	Columns (USA, Europe)
3fb40043	Columns (USA, Europe) (Beta)
7778e256	Comic Bakery (Korea)
9d549e08	Comical Machine Gun Joe (Japan)
84ad5ae4	Comical Machine Gun Joe (Taiwan)
13ac9023	Cool Spot (Europe)
29822980	Cosmic Spacehead (Europe) (En,Fr,De,Es)
1350e4f8	Cyber Shinobi, The (Europe)
dac00a3a	Cyber Shinobi, The (Unknown) (Beta)
908e7524	Cyborg Hunter (USA, Europe)
77efe84a	Cyborg Z (Korea)
71abef27	Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It)
89b79e77	Dallyeora Pigu-Wang (Korea) (Unl)
ae4a28d7	Danan - The Jungle Fighter (Europe)
e2f7193e	Dead Angle (USA, Europe)
42fc3a6e	Deep Duck Trouble Starring Donald Duck (Europe)
b137007a	Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe) (En,Fr,De,Es,It)
6c1433f9	Desert Strike (Europe) (En,Fr,De,Es)
f6fab48d	Dick Tracy (USA, Europe)
ea5c3a6f	Dinobasher Starring Bignose the Caveman (Europe) (Proto)
32f4b791	Dinosaur Dooley, The (Korea) (Unl)
2bcdb8fa	Doki Doki Penguin Land - Uchuu Daibouken (Japan)
56bd2455	Doki Doki Penguin Land - Uchuu-Daibouken (Japan) (Beta)
a55d89f3	Double Dragon (World)
8370f6cd	Double Hawk (Europe)
f76d5cee	Double Hawk (Europe) (Beta)
52b83072	Double Target - Cynthia no Nemuri (Japan)
16537865	Dr. Hello (Korea) (Unl)
6c696221	Dr. Robotnik's Mean Bean Machine (Europe)
c88a5064	Dragon - The Bruce Lee Story (Europe)
9549fce4	Dragon Crystal (Europe)
07306947	Dynamite Duke (Europe)
