# Nintendo - Nintendo 64 - 20130203-100700
#=======================================================================================================================
#  Id       #  Title
#-----------------------------------------------------------------------------------------------------------------------
7425ae2d	007 - GoldenEye (Europe)
c26fed78	007 - GoldenEye (Japan)
8b70cb5b	007 - GoldenEye (USA)
7f030d3a	007 - The World Is Not Enough (Europe) (En,Fr,De)
34f0ee5b	007 - The World Is Not Enough (USA)
b0256101	1080 TenEighty Snowboarding (Europe) (En,Ja,Fr,De)
d1744951	1080 TenEighty Snowboarding (Japan, USA) (En,Ja)
366ed851	40 Winks (Europe) (En,Es,It) (Proto)
2b43006c	64 Hanafuda - Tenshi no Yakusoku (Japan)
a6dbf8ae	64 Oozumou (Japan)
3cd5e271	64 Oozumou 2 (Japan)
34bbb95d	64 Trump Collection - Alice no Wakuwaku Trump World (Japan)
c6400938	64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)
43022243	AI Shougi 3 (Japan)
c992dfb4	Action Replay Pro 64 (Europe) (v3.0) (Unl)
9fbabfda	Action Replay Pro 64 (Europe) (v3.3) (Unl)
e493e46c	AeroFighters Assault (Europe) (En,Fr,De)
b08ef0b9	AeroFighters Assault (USA)
d8ca6c8e	AeroGauge (Europe) (En,Fr,De)
4ba2a495	AeroGauge (Japan) (Demo) (Kiosk)
1a5f6c19	AeroGauge (Japan) (Rev A)
04038cb8	AeroGauge (USA)
9dc07fc0	Aidyn Chronicles - The First Mage (Europe)
8da62304	Aidyn Chronicles - The First Mage (USA)
276178df	Aidyn Chronicles - The First Mage (USA) (Rev A)
92659837	Air Boarder 64 (Europe)
79f2df14	Air Boarder 64 (Japan)
ca79d5a0	Akumajou Dracula Mokushiroku - Real Action Adventure (Japan)
420ce37b	Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan)
e718347d	All Star Tennis '99 (Europe) (En,Fr,De,Es,It)
7326e6c9	All Star Tennis 99 (USA)
15f18cae	All-Star Baseball 2000 (Europe)
15063eac	All-Star Baseball 2000 (USA)
3e8be0e0	All-Star Baseball 2001 (USA)
cecd29a6	All-Star Baseball 99 (Europe)
82b7e47d	All-Star Baseball 99 (USA)
33332c57	Armorines - Project S.W.A.R.M. (Europe)
43a6829d	Armorines - Project S.W.A.R.M. (Germany)
950985f6	Armorines - Project S.W.A.R.M. (USA)
2355e4f3	Army Men - Air Combat (USA)
b2b54cc1	Army Men - Sarge's Heroes (Europe) (En,Fr,De)
97bf6db2	Army Men - Sarge's Heroes (USA)
3e9d1c51	Army Men - Sarge's Heroes 2 (USA)
fb982b44	Asteroids Hyper 64 (USA)
210f594e	Automobili Lamborghini (Europe)
